iter	Passed	Remaining
0	211	211489
1	313	156378
2	426	141867
3	677	168689
4	771	153476
5	906	150190
6	1012	143659
7	1116	138418
8	1222	134589
9	1343	133001
10	1465	131793
11	1591	131032
12	1689	128298
13	1808	127399
14	1925	126410
15	2020	124233
16	2163	125081
17	2272	123986
18	2406	124238
19	2504	122741
20	2621	122190
21	2714	120650
22	2842	120733
23	2975	120985
24	3084	120313
25	3180	119136
26	3293	118687
27	3421	118784
28	3531	118256
29	3675	118856
30	3778	118105
31	3867	117005
32	3961	116072
33	4081	115952
34	4193	115620
35	4333	116039
36	4474	116470
37	4644	117587
38	4763	117376
39	4859	116628
40	4961	116059
41	5089	116087
42	5181	115324
43	5284	114815
44	5405	114707
45	5508	114251
46	5641	114380
47	5756	114160
48	5870	113935
49	5992	113863
50	6088	113294
51	6210	113220
52	6526	116613
53	6667	116799
54	6769	116310
55	6883	116040
56	6999	115792
57	7100	115326
58	7194	114747
59	7281	114070
60	7377	113572
61	7486	113259
62	7591	112913
63	7696	112567
64	7791	112083
65	7910	111942
66	8008	111518
67	8097	110978
68	8210	110782
69	8300	110274
70	8411	110059
71	8508	109662
72	8619	109458
73	8727	109213
74	8829	108901
75	8931	108584
76	9029	108238
77	9148	108141
78	9258	107939
79	9383	107905
80	9492	107700
81	9605	107537
82	9711	107298
83	9819	107082
84	9909	106674
85	10012	106407
86	10111	106112
87	10198	105693
88	10311	105546
89	10405	105212
90	10485	104735
91	10573	104357
92	10680	104159
93	10759	103707
94	10867	103526
95	10982	103422
96	11081	103159
97	11183	102931
98	11286	102722
99	11397	102575
100	11508	102439
101	11640	102481
102	11760	102418
103	11869	102256
104	11985	102161
105	12120	102223
106	12225	102033
107	12362	102105
108	12473	101958
109	12600	101951
110	12697	101697
111	12823	101671
112	12920	101422
113	13015	101153
114	13110	100897
115	13210	100676
116	13314	100487
117	13425	100347
118	13513	100043
119	13615	99850
120	13703	99551
121	13808	99375
122	13925	99288
123	14011	98987
124	14117	98824
125	14255	98886
126	14337	98553
127	14496	98756
128	14625	98748
129	14736	98621
130	14859	98573
131	14956	98351
132	15071	98247
133	15188	98155
134	15304	98061
135	15436	98064
136	15524	97790
137	15609	97503
138	15713	97333
139	15797	97042
140	15915	96962
141	16023	96819
142	16117	96590
143	16207	96341
144	16336	96327
145	16433	96124
146	16547	96022
147	16660	95910
148	16771	95789
149	16902	95778
150	17008	95627
151	17134	95592
152	17246	95477
153	17374	95447
154	17468	95231
155	17586	95147
156	17683	94952
157	17813	94932
158	17899	94675
159	18012	94568
160	18108	94366
161	18237	94339
162	18347	94212
163	18442	94010
164	18546	93857
165	18680	93853
166	18808	93816
167	18911	93655
168	19004	93449
169	19147	93484
170	19243	93293
171	19350	93151
172	19441	92937
173	19538	92750
174	19631	92550
175	19741	92426
176	19829	92201
177	19920	91992
178	20043	91931
179	20160	91841
180	20251	91634
181	20351	91470
182	20454	91319
183	20582	91279
184	20692	91157
185	20818	91107
186	20931	91002
187	21018	90782
188	21125	90651
189	21238	90544
190	21380	90558
191	21487	90426
192	21741	90907
193	21843	90750
194	21922	90500
195	22013	90298
196	22126	90191
197	22239	90082
198	22334	89898
199	22455	89823
200	22613	89890
201	22719	89754
202	22835	89655
203	22945	89533
204	23055	89411
205	23140	89191
206	23248	89061
207	23346	88895
208	23472	88837
209	23571	88674
210	23664	88489
211	23755	88297
212	23873	88208
213	23967	88031
214	24041	87779
215	24160	87693
216	24261	87543
217	24362	87393
218	24465	87250
219	24566	87101
220	24682	87003
221	24819	86981
222	24937	86890
223	25023	86689
224	25120	86526
225	25230	86409
226	25322	86229
227	25437	86129
228	25542	85997
229	25665	85922
230	25773	85799
231	25887	85697
232	25980	85524
233	26081	85379
234	26204	85303
235	26321	85208
236	26436	85108
237	26546	84994
238	26650	84858
239	26754	84721
240	26847	84553
241	26959	84442
242	27053	84279
243	27179	84211
244	27272	84044
245	27373	83900
246	27465	83729
247	27555	83554
248	27666	83442
249	27754	83262
250	27856	83126
251	27959	82991
252	28043	82800
253	28144	82659
254	28242	82512
255	28334	82346
256	28415	82150
257	28522	82030
258	28639	81938
259	28734	81781
260	28833	81639
261	28950	81548
262	29038	81375
263	29152	81273
264	29281	81215
265	29403	81135
266	29518	81036
267	29624	80913
268	29747	80836
269	29884	80798
270	29997	80694
271	30097	80554
272	30200	80423
273	30318	80332
274	30447	80270
275	30579	80217
276	30688	80099
277	30807	80010
278	30933	79938
279	31051	79846
280	31168	79750
281	31296	79683
282	31465	79720
283	31581	79622
284	31730	79603
285	31840	79491
286	31954	79386
287	32054	79245
288	32170	79146
289	32304	79091
290	32412	78971
291	32527	78869
292	32626	78726
293	32757	78662
294	32879	78576
295	33010	78511
296	33107	78366
297	33222	78263
298	33505	78552
299	33749	78747
300	33951	78845
301	34200	79046
302	34479	79313
303	34757	79576
304	35019	79797
305	35226	79891
306	35499	80133
307	35715	80243
308	35970	80438
309	36402	81025
310	36741	81398
311	36921	81415
312	37175	81596
313	37480	81883
314	37831	82269
315	38058	82380
316	38304	82530
317	38534	82642
318	38771	82768
319	38973	82819
320	39220	82962
321	39428	83019
322	39719	83251
323	40047	83556
324	40257	83611
325	40488	83710
326	40761	83892
327	40941	83879
328	41349	84332
329	41620	84501
330	41950	84788
331	42191	84890
332	42412	84953
333	42725	85195
334	42996	85352
335	43236	85442
336	43510	85600
337	43755	85698
338	44020	85833
339	44339	86070
340	44672	86331
341	44845	86282
342	45130	86446
343	45399	86576
344	45600	86574
345	45879	86719
346	46051	86662
347	46394	86923
348	46713	87135
349	47192	87643
350	47559	87936
351	47807	88009
352	48119	88195
353	48370	88269
354	48631	88357
355	48881	88425
356	49244	88695
357	49536	88834
358	49839	88989
359	50024	88932
360	50263	88970
361	50669	89301
362	51080	89637
363	51312	89656
364	51536	89658
365	51737	89621
366	52071	89813
367	52300	89821
368	52561	89882
369	52837	89967
370	53137	90090
371	53423	90187
372	53700	90269
373	53907	90229
374	54224	90374
375	54483	90419
376	54684	90367
377	54898	90336
378	55207	90458
379	55461	90490
380	55770	90608
381	56116	90785
382	56571	91135
383	56886	91255
384	57181	91341
385	57467	91411
386	57764	91497
387	58091	91628
388	58415	91753
389	58699	91811
390	58955	91825
391	59196	91814
392	59395	91737
393	59683	91797
394	60051	91977
395	60252	91900
396	60525	91930
397	60801	91966
398	61041	91944
399	61329	91993
400	61536	91921
401	61746	91851
402	61946	91767
403	62177	91727
404	62519	91849
405	62712	91752
406	62947	91714
407	63114	91578
408	63346	91534
409	63600	91522
410	63852	91505
411	64058	91423
412	64259	91332
413	64432	91202
414	64651	91135
415	64837	91021
416	65043	90935
417	65236	90832
418	65437	90737
419	65648	90657
420	65824	90527
421	66158	90614
422	66489	90695
423	66767	90702
424	67003	90651
425	67177	90516
426	67450	90513
427	67742	90534
428	67954	90447
429	68135	90319
430	68339	90220
431	68576	90165
432	68825	90125
433	69067	90074
434	69279	89983
435	69593	90024
436	69838	89975
437	70260	90151
438	70542	90146
439	70728	90018
440	70977	89968
441	71324	90043
442	71596	90021
443	71854	89980
444	72115	89941
445	72380	89907
446	72719	89963
447	73105	90076
448	73412	90089
449	73652	90019
450	73907	89967
451	74136	89882
452	74364	89795
453	74612	89732
454	74819	89618
455	75064	89550
456	75342	89520
457	75631	89502
458	75983	89557
459	76322	89595
460	76683	89658
461	77000	89666
462	77246	89592
463	77542	89575
464	77886	89611
465	78120	89520
466	78410	89492
467	78738	89506
468	79139	89601
469	79407	89545
470	79690	89503
471	79901	89381
472	80170	89322
473	80395	89215
474	80650	89140
475	80916	89075
476	81234	89068
477	81538	89044
478	81862	89040
479	82116	88959
480	82393	88902
481	82610	88780
482	82851	88683
483	83102	88597
484	83353	88509
485	83572	88387
486	83805	88279
487	83998	88129
488	84287	88079
489	84482	87931
490	84683	87788
491	84954	87717
492	85247	87668
493	85484	87561
494	85937	87674
495	86148	87538
496	86450	87493
497	86690	87386
498	86938	87286
499	87187	87187
500	87395	87046
501	87725	87026
502	87974	86925
503	88253	86852
504	88424	86673
505	88732	86628
506	88976	86519
507	89278	86466
508	89558	86390
509	89802	86281
510	90096	86217
511	90369	86133
512	90643	86049
